id;hospital;endereco
135;UNIDADE DE GESTAO ASSISTENCIAL II HOSPITAL IPIRANGA SP;AVENIDA NAZARE, 28 - IPIRANGA, SAO PAULO, SP
136;CONJUNTO HOSPITALAR DO MANDAQUI SAO PAULO;RUA VOLUNTARIOS DA PATRIA, 4301 - SANTANA, SAO PAULO, SP
137;HOSPITAL GERAL SANTA MARCELINA DE ITAIM PAULISTA SAO PAULO;AV MARECHAL TITO, 6035 - ITAIM PAULISTA, SAO PAULO, SP
138;HOSP MUN PROF DR WALDOMIRO DE PAULA;RUA AUGUSTO CARLOS BAUMANN, 1074 - ITAQUERA, SAO PAULO, SP
139;HOSPITAL GERAL DO GRAJAU PROF LIBER JOHN ALPHONSE DI DIO SP;RUA FRANCISCO OTAVIO PACCA, 180 - PARQUE DAS NACOES, SAO PAULO, SP
140;HOSPITAL E MATERNIDADE LEONOR MENDES DE BARROS SAO PAULO;AV CELSO GARCIA, 2477 - BELENZINHO, SAO PAULO, SP
141;CENTRO DE REFERENCIA E TREINAMENTO DST AIDS SAO PAULO;RUA SANTA CRUZ, 81 - VILA MARIANA, SAO PAULO, SP
142;HOSPITAL MILITAR DE AREA DE SAO PAULO;RUA OUVIDOR PORTUGAL, 230 - CAMBUCI, SAO PAULO, SP
143;CENTRO DE REFERENCIA DA SAUDE DA MULHER;AV RIO BRANCO, 1080 - CAMPOS ELISEOS, SAO PAULO, SP
144;HOSP MUN INFANTIL MENINO JESUS;RUA DOS INGLESES, 258 - BELA VISTA, SAO PAULO, SP
